Temp (K)	alpha (K^-1) 
75.4074	8.5142e-05
75.7037	8.5529e-05
76.0000	8.5914e-05
76.2963	8.6300e-05
76.5926	8.6684e-05
76.8889	8.7069e-05
77.1852	8.7452e-05
77.4815	8.7835e-05
77.7778	8.8218e-05
78.0741	8.8600e-05
78.3704	8.8982e-05
78.6667	8.9363e-05
78.9630	8.9743e-05
79.2593	9.0123e-05
79.5556	9.0502e-05
79.8519	9.0881e-05
80.1481	9.1260e-05
80.4444	9.1637e-05
80.7407	9.2015e-05
81.0370	9.2391e-05
81.3333	9.2768e-05
81.6296	9.3143e-05
81.9259	9.3519e-05
82.2222	9.3893e-05
82.5185	9.4267e-05
82.8148	9.4641e-05
83.1111	9.5014e-05
83.4074	9.5387e-05
83.7037	9.5759e-05
84.0000	9.6130e-05
84.2963	9.6501e-05
84.5926	9.6871e-05
84.8889	9.7241e-05
85.1852	9.7611e-05
85.4815	9.7979e-05
85.7778	9.8348e-05
86.0741	9.8715e-05
86.3704	9.9083e-05
86.6667	9.9449e-05
86.9630	9.9815e-05
87.2593	1.0018e-04
87.5556	1.0055e-04
87.8519	1.0091e-04
88.1481	1.0127e-04
88.4444	1.0164e-04
88.7407	1.0200e-04
89.0370	1.0236e-04
89.3333	1.0273e-04
89.6296	1.0309e-04
89.9259	1.0345e-04
90.2222	1.0381e-04
90.5185	1.0417e-04
90.8148	1.0453e-04
91.1111	1.0489e-04
91.4074	1.0524e-04
91.7037	1.0560e-04
92.0000	1.0596e-04
92.2963	1.0632e-04
92.5926	1.0667e-04
92.8889	1.0703e-04
93.1852	1.0738e-04
93.4815	1.0774e-04
93.7778	1.0809e-04
94.0741	1.0844e-04
94.3704	1.0880e-04
94.6667	1.0915e-04
94.9630	1.0950e-04
95.2593	1.0985e-04
95.5556	1.1020e-04
95.8519	1.1055e-04
96.1481	1.1090e-04
96.4444	1.1125e-04
96.7407	1.1160e-04
97.0370	1.1195e-04
97.3333	1.1230e-04
97.6296	1.1264e-04
97.9259	1.1299e-04
98.2222	1.1334e-04
98.5185	1.1368e-04
98.8148	1.1403e-04
99.1111	1.1437e-04
99.4074	1.1472e-04
99.7037	1.1506e-04
100.0000	1.1540e-04
100.2963	1.1574e-04
100.5926	1.1609e-04
100.8889	1.1643e-04
101.1852	1.1677e-04
101.4815	1.1711e-04
101.7778	1.1745e-04
102.0741	1.1779e-04
102.3704	1.1813e-04
102.6667	1.1846e-04
102.9630	1.1880e-04
103.2593	1.1914e-04
103.5556	1.1947e-04
103.8519	1.1981e-04
104.1481	1.2015e-04
104.4444	1.2048e-04
104.7407	1.2081e-04
105.0370	1.2115e-04
105.3333	1.2148e-04
105.6296	1.2181e-04
105.9259	1.2215e-04
106.2222	1.2248e-04
106.5185	1.2281e-04
106.8148	1.2314e-04
107.1111	1.2347e-04
107.4074	1.2380e-04
107.7037	1.2413e-04
